Style-Fabric-Color,Gender,Birth Season,Comm. Category SubGroup,new,vip,revenue
ABITO DONNA JERSEY-Black,Female,Fall / Winter 2017-2018,RTW,2,0,2072.060181
ABITO DONNA JERSEY-Black,Female,Spring / Summer 2017,RTW,2,0,4481.969574
ABITO DONNA JERSEY-Black,Female,Spring / Summer 2018,RTW,8,1,8179.49733
ABITO DONNA JERSEY-Black - Yellow fluo,Female,Spring / Summer 2018,RTW,7,0,4659.145416
ABITO DONNA JERSEY-Mint + Print,Female,Spring / Summer 2018,RTW,6,1,5919.449066
ABITO DONNA JERSEY-red-black,Female,Fall / Winter 2017-2018,RTW,0,0,449.0276794
ABITO DONNA JERSEY-Yellow,Female,Spring / Summer 2017,RTW,1,0,268.0177612
ABITO DONNA JERSEY-yellow + print,Female,Spring / Summer 2018,RTW,4,2,17964.0238
ABITO DONNA SERA-Black,Female,Fall / Winter 2017-2018,RTW,1,0,3801.077637
ABITO DONNA TESSUTO + RICAMO-Black,Female,Spring / Summer 2018,RTW,10,4,52909.4469
ABITO DONNA TESSUTO RICAMATO-Black,Female,Spring / Summer 2018,RTW,3,2,10914.48474
ABITO DONNA TESSUTO STAMPATO-Mint + Print,Female,Spring / Summer 2018,RTW,10,1,6676.593201
ABITO DONNA TESSUTO STAMPATO-Multicolor,Female,Fall / Winter 2017-2018,RTW,1,0,211.7843933
ABITO DONNA TESSUTO STAMPATO-Red + Print,Female,Fall / Winter 2017-2018,RTW,0,0,373.9099731
ABITO DONNA TESSUTO STAMPATO-White + Print,Female,Spring / Summer 2018,RTW,5,0,4352.953522
ABITO DONNA TESSUTO STAMPATO-white+multicolor,Female,Spring / Summer 2018,RTW,4,0,2831.940216
ABITO DONNA TESSUTO-Black,Female,Fall / Winter 2017-2018,RTW,16,0,15314.44302
ABITO DONNA TESSUTO-Black,Female,Spring / Summer 2018,RTW,21,3,33396.68239
ABITO DONNA TESSUTO-Black + Print,Female,Fall / Winter 2017-2018,RTW,12,0,40716.44556
ABITO DONNA TESSUTO-Black + Print,Female,Spring / Summer 2018,RTW,58,4,240461.0659
ABITO DONNA TESSUTO-black-red,Female,Spring / Summer 2018,RTW,2,0,704.5802765
ABITO DONNA TESSUTO-light blue + print,Female,Spring / Summer 2018,RTW,4,0,20182.75128
ABITO DONNA TESSUTO-Lilac,Female,Spring / Summer 2018,RTW,16,1,43628.12781
ABITO DONNA TESSUTO-LT. BLUE - BLACK,Female,Spring / Summer 2018,RTW,1,0,1443.533325
ABITO DONNA TESSUTO-multicolor,Female,Spring / Summer 2018,RTW,12,0,18655.02823
ABITO DONNA TESSUTO-Navy - Black,Female,Spring / Summer 2018,RTW,6,0,15647.01398
